frame_id,emotions_1,emotions_2,emotions_3,emotions_4
0,angry,fear,neutral,neutral
1,angry,fear,neutral,neutral
2,angry,fear,neutral,neutral
3,angry,fear,neutral,neutral
4,angry,fear,neutral,neutral
5,fear,fear,neutral,fear
6,fear,fear,neutral,fear
7,fear,fear,neutral,fear
8,fear,fear,neutral,fear
9,fear,fear,neutral,fear
10,fear,fear,sad,fear
11,fear,fear,sad,fear
12,fear,fear,sad,fear
13,fear,fear,sad,fear
14,fear,fear,sad,fear
15,angry,happy,neutral,neutral
16,angry,happy,neutral,neutral
17,angry,happy,neutral,neutral
18,angry,happy,neutral,neutral
19,angry,happy,neutral,neutral
20,neutral,fear,neutral,neutral
21,neutral,fear,neutral,neutral
22,neutral,fear,neutral,neutral
23,neutral,fear,neutral,neutral
24,neutral,fear,neutral,neutral
25,angry,fear,happy,neutral
26,angry,fear,happy,neutral
27,angry,fear,happy,neutral
28,angry,fear,happy,neutral
29,angry,fear,happy,neutral
30,sad,fear,neutral,neutral
31,sad,fear,neutral,neutral
32,sad,fear,neutral,neutral
33,sad,fear,neutral,neutral
34,sad,fear,neutral,neutral
35,angry,fear,neutral,neutral
36,angry,fear,neutral,neutral
37,angry,fear,neutral,neutral
38,angry,fear,neutral,neutral
39,angry,fear,neutral,neutral
40,sad,fear,neutral,neutral
41,sad,fear,neutral,neutral
42,sad,fear,neutral,neutral
43,sad,fear,neutral,neutral
44,sad,fear,neutral,neutral
45,sad,happy,neutral,sad
46,sad,happy,neutral,sad
47,sad,happy,neutral,sad
48,sad,happy,neutral,sad
49,sad,happy,neutral,sad
50,sad,neutral,fear,neutral
51,sad,neutral,fear,neutral
52,sad,neutral,fear,neutral
53,sad,neutral,fear,neutral
54,sad,neutral,fear,neutral
55,angry,fear,neutral,neutral
56,angry,fear,neutral,neutral
57,angry,fear,neutral,neutral
58,angry,fear,neutral,neutral
59,angry,fear,neutral,neutral
60,fear,neutral,neutral,neutral
61,fear,neutral,neutral,neutral
62,fear,neutral,neutral,neutral
63,fear,neutral,neutral,neutral
64,fear,neutral,neutral,neutral
65,neutral,angry,neutral,neutral
66,neutral,angry,neutral,neutral
67,neutral,angry,neutral,neutral
68,neutral,angry,neutral,neutral
69,neutral,angry,neutral,neutral
70,angry,neutral,sad,neutral
71,angry,neutral,sad,neutral
72,angry,neutral,sad,neutral
73,angry,neutral,sad,neutral
74,angry,neutral,sad,neutral
75,neutral,angry,sad,neutral
76,neutral,angry,sad,neutral
77,neutral,angry,sad,neutral
78,neutral,angry,sad,neutral
79,neutral,angry,sad,neutral
80,angry,neutral,sad,neutral
81,angry,neutral,sad,neutral
82,angry,neutral,sad,neutral
83,angry,neutral,sad,neutral
84,angry,neutral,sad,neutral
85,angry,neutral,neutral,neutral
86,angry,neutral,neutral,neutral
87,angry,neutral,neutral,neutral
88,angry,neutral,neutral,neutral
89,angry,neutral,neutral,neutral
90,angry,happy,neutral,neutral
91,angry,happy,neutral,neutral
92,angry,happy,neutral,neutral
93,angry,happy,neutral,neutral
94,angry,happy,neutral,neutral
95,sad,neutral,neutral,neutral
96,sad,neutral,neutral,neutral
97,sad,neutral,neutral,neutral
98,sad,neutral,neutral,neutral
99,sad,neutral,neutral,neutral
100,neutral,fear,happy,neutral
101,neutral,fear,happy,neutral
102,neutral,fear,happy,neutral
103,neutral,fear,happy,neutral
104,neutral,fear,happy,neutral
105,neutral,neutral,happy,neutral
106,neutral,neutral,happy,neutral
107,neutral,neutral,happy,neutral
108,neutral,neutral,happy,neutral
109,neutral,neutral,happy,neutral
110,neutral,neutral,neutral,neutral
111,neutral,neutral,neutral,neutral
112,neutral,neutral,neutral,neutral
113,neutral,neutral,neutral,neutral
114,neutral,neutral,neutral,neutral
115,happy,sad,angry,neutral
116,happy,sad,angry,neutral
117,happy,sad,angry,neutral
118,happy,sad,angry,neutral
119,happy,sad,angry,neutral
120,neutral,neutral,neutral,neutral
121,neutral,neutral,neutral,neutral
122,neutral,neutral,neutral,neutral
123,neutral,neutral,neutral,neutral
124,neutral,neutral,neutral,neutral
125,neutral,neutral,neutral,neutral
126,neutral,neutral,neutral,neutral
127,neutral,neutral,neutral,neutral
128,neutral,neutral,neutral,neutral
129,neutral,neutral,neutral,neutral
130,neutral,happy,happy,neutral
131,neutral,happy,happy,neutral
132,neutral,happy,happy,neutral
133,neutral,happy,happy,neutral
134,neutral,happy,happy,neutral
135,happy,neutral,fear,sad
136,happy,neutral,fear,sad
137,happy,neutral,fear,sad
138,happy,neutral,fear,sad
139,happy,neutral,fear,sad
140,neutral,happy,angry,sad
141,neutral,happy,angry,sad
142,neutral,happy,angry,sad
143,neutral,happy,angry,sad
144,neutral,happy,angry,sad
145,neutral,happy,happy,sad
146,neutral,happy,happy,sad
147,neutral,happy,happy,sad
148,neutral,happy,happy,sad
149,neutral,happy,happy,sad
150,neutral,happy,happy,
151,neutral,happy,happy,
152,neutral,happy,happy,
153,neutral,happy,happy,
154,neutral,happy,happy,
155,neutral,happy,fear,
156,neutral,happy,fear,
157,neutral,happy,fear,
158,neutral,happy,fear,
159,neutral,happy,fear,
160,neutral,happy,happy,
161,neutral,happy,happy,
162,neutral,happy,happy,
163,neutral,happy,happy,
164,neutral,happy,happy,
165,neutral,happy,happy,
166,neutral,happy,happy,
167,neutral,happy,happy,
168,neutral,happy,happy,
169,neutral,happy,happy,
170,neutral,happy,happy,
171,neutral,happy,happy,
172,neutral,happy,happy,
173,neutral,happy,happy,
174,neutral,happy,happy,
175,neutral,happy,happy,
176,neutral,happy,happy,
177,neutral,happy,happy,
178,neutral,happy,happy,
179,neutral,happy,happy,
180,happy,,,
181,happy,,,
182,happy,,,
183,happy,,,
184,happy,,,
185,happy,,,
186,happy,,,
187,happy,,,
188,happy,,,
189,happy,,,
190,happy,,,
191,happy,,,
192,happy,,,
193,happy,,,
194,happy,,,
195,happy,,,
196,happy,,,
197,happy,,,
198,happy,,,
199,happy,,,
200,happy,,,
201,happy,,,
202,happy,,,
203,happy,,,
204,happy,,,
205,happy,,,
206,happy,,,
207,happy,,,
208,happy,,,
209,happy,,,
210,happy,,,
211,happy,,,
212,happy,,,
213,happy,,,
214,happy,,,
215,happy,,,
216,happy,,,
217,happy,,,
218,happy,,,
219,happy,,,
220,happy,,,
221,happy,,,
222,happy,,,
223,happy,,,
224,happy,,,
225,happy,,,
226,happy,,,
227,happy,,,
228,happy,,,
229,happy,,,
230,happy,,,
231,happy,,,
232,happy,,,
233,happy,,,
234,happy,,,
235,happy,,,
236,happy,,,
237,happy,,,
238,happy,,,
239,happy,,,
240,happy,,,
241,happy,,,
242,happy,,,
243,happy,,,
244,happy,,,
245,happy,,,
246,happy,,,
247,happy,,,
248,happy,,,
249,happy,,,
250,happy,,,
251,happy,,,
252,happy,,,
253,happy,,,
254,happy,,,
255,happy,,,
256,happy,,,
257,happy,,,
258,happy,,,
259,happy,,,
260,happy,,,
261,happy,,,
262,happy,,,
263,happy,,,
264,happy,,,
265,happy,,,
266,happy,,,
267,happy,,,
268,happy,,,
269,happy,,,
270,happy,,,
271,happy,,,
272,happy,,,
273,happy,,,
274,happy,,,
275,happy,,,
276,happy,,,
277,happy,,,
278,happy,,,
279,happy,,,
280,happy,,,
281,happy,,,
282,happy,,,
283,happy,,,
284,happy,,,
285,happy,,,
286,happy,,,
287,happy,,,
288,happy,,,
289,happy,,,
290,happy,,,
291,happy,,,
292,happy,,,
293,happy,,,
294,happy,,,
295,happy,,,
296,happy,,,
297,happy,,,
298,happy,,,
299,happy,,,
300,happy,,,
301,happy,,,
302,happy,,,
303,happy,,,
304,happy,,,
305,happy,,,
306,happy,,,
