epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.952,1.09418,1.9932,0.95661,0.69678,0.61947,0.726,0.54914,0.94823,1.02032,0.92495,0.0670313,0.000333018,0.000333018
2,451.812,0.99079,1.14664,0.9267,0.81958,0.81137,0.90035,0.71845,0.82917,0.67494,0.89085,0.0340249,0.000660021,0.000660021
3,642.669,0.93508,0.93514,0.91375,0.87652,0.88004,0.94525,0.76035,0.79702,0.54771,0.88329,0.00101226,0.00098069,0.00098069
4,841.693,0.87336,0.77244,0.90145,0.91498,0.92978,0.96953,0.7952,0.74122,0.45513,0.86589,0.0009715,0.0009715,0.0009715
5,1035.12,0.84092,0.7045,0.89015,0.93076,0.93649,0.97925,0.83081,0.66152,0.4222,0.85007,0.000962,0.000962,0.000962
6,1232.76,0.8017,0.64973,0.883,0.93324,0.96604,0.98211,0.84562,0.62999,0.36601,0.84319,0.0009525,0.0009525,0.0009525
7,1429.24,0.77423,0.59742,0.87623,0.92598,0.96491,0.98234,0.85181,0.60712,0.34848,0.83797,0.000943,0.000943,0.000943
8,1621.43,0.74075,0.55628,0.86713,0.94554,0.93748,0.98184,0.85402,0.60361,0.3589,0.83739,0.0009335,0.0009335,0.0009335
9,1815.43,0.72279,0.54559,0.86142,0.93295,0.97471,0.98097,0.86189,0.57594,0.32898,0.82877,0.000924,0.000924,0.000924
10,2006.12,0.70148,0.50882,0.85594,0.96619,0.97638,0.98794,0.88548,0.51513,0.28959,0.82019,0.0009145,0.0009145,0.0009145
11,2201.49,0.69914,0.52372,0.85659,0.93689,0.97613,0.98716,0.87723,0.53373,0.31059,0.82344,0.000905,0.000905,0.000905
12,2396.97,0.67167,0.48932,0.85118,0.9518,0.97424,0.98799,0.88359,0.52415,0.29257,0.82054,0.0008955,0.0008955,0.0008955
13,2589.26,0.65903,0.47683,0.84553,0.96874,0.97518,0.98986,0.90173,0.46907,0.2638,0.81057,0.000886,0.000886,0.000886
14,2783.97,0.64102,0.46076,0.84451,0.92124,0.98794,0.97807,0.88504,0.49975,0.28321,0.81597,0.0008765,0.0008765,0.0008765
