epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2466,1.44644,4.36763,1.20714,0,0,0,0,1.98512,5.83128,1.37321,0.0705,0.00327778,0.00327778
2,72.5997,1.4507,3.40842,1.24558,0.09632,0.02174,0.00837,0.00328,2.41446,6.94907,1.82004,0.0404686,0.00657971,0.00657971
3,98.7916,1.40835,3.16346,1.2823,0.08443,0.04936,0.03917,0.01563,2.56365,7.17778,2.00697,0.0104055,0.00984997,0.00984997
4,124.431,1.35106,2.95393,1.22243,0.09081,0.42935,0.27989,0.10472,2.40115,2.70967,1.9974,0.0098575,0.0098575,0.0098575
5,147.82,1.33748,2.84115,1.21116,0.15105,0.42826,0.28006,0.11714,2.42085,2.62326,1.89539,0.00981,0.00981,0.00981
6,172.778,1.33173,2.67674,1.22368,0.4553,0.33696,0.34879,0.14546,2.30027,2.34125,1.87389,0.0097625,0.0097625,0.0097625
7,197.473,1.31421,2.56984,1.18745,0.46345,0.40759,0.39319,0.15759,2.071,2.52816,1.66755,0.009715,0.009715,0.009715
8,222.581,1.30204,2.4704,1.20624,0.22762,0.76087,0.49931,0.2169,2.44262,2.07738,2.02248,0.0096675,0.0096675,0.0096675
9,247.517,1.2801,2.43945,1.22058,0.31432,0.71196,0.58174,0.2409,2.12947,2.13488,1.77986,0.00962,0.00962,0.00962
10,274.647,1.25469,2.3502,1.20155,0.57898,0.40487,0.46329,0.17825,2.30423,2.29018,1.90435,0.0095725,0.0095725,0.0095725
11,300.168,1.20442,2.22739,1.17095,0.25594,0.60647,0.52939,0.23914,2.23791,2.2079,1.83806,0.009525,0.009525,0.009525
12,324.942,1.24086,2.24925,1.18156,0.24373,0.69348,0.55153,0.23666,2.47793,2.12729,1.99632,0.0094775,0.0094775,0.0094775
13,350.298,1.19619,2.17024,1.19397,0.40888,0.71657,0.67563,0.2991,2.40047,1.70485,1.99278,0.00943,0.00943,0.00943
14,374.743,1.22875,2.17897,1.18907,0.53093,0.73904,0.76633,0.36176,2.27971,1.64232,1.87409,0.0093825,0.0093825,0.0093825
15,399.572,1.22731,2.11677,1.20433,0.35242,0.83261,0.65996,0.30176,2.34577,1.64591,1.98112,0.009335,0.009335,0.009335
16,423.786,1.20333,2.00525,1.16256,0.7532,0.42715,0.63528,0.27847,2.30099,1.89558,1.88158,0.0092875,0.0092875,0.0092875
17,448.443,1.2316,1.985,1.1481,0.44262,0.6413,0.6975,0.34149,2.20878,1.8252,1.75642,0.00924,0.00924,0.00924
18,472.958,1.20388,1.98908,1.16702,0.41287,0.84239,0.7966,0.38335,2.27238,1.73607,1.84411,0.0091925,0.0091925,0.0091925
