epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9224,1.4543,3.6962,1.23757,0,0,0,0,5.42402,inf,10.6271,0.0705,0.00327778,0.00327778
2,26.0053,1.43503,2.94177,1.28236,0,0,0,0,5.59598,inf,9.93853,0.0404686,0.00657971,0.00657971
3,37.2745,1.42368,2.80135,1.30821,0.0281,0.1087,0.03788,0.01209,2.31739,7.18841,1.83875,0.0104055,0.00984997,0.00984997
4,47.1106,1.37348,2.70644,1.24339,0.05244,0.13913,0.08727,0.0282,2.45638,4.59631,1.98833,0.0098575,0.0098575,0.0098575
5,57.0011,1.33611,2.54673,1.21536,0.28602,0.64783,0.52523,0.24,2.26422,2.17045,1.88041,0.00981,0.00981,0.00981
6,67.462,1.31525,2.37689,1.22387,0.46065,0.40627,0.45047,0.19668,2.14883,2.584,1.72602,0.0097625,0.0097625,0.0097625
7,76.621,1.29894,2.29518,1.18568,0.15579,0.32174,0.21848,0.09585,2.22682,3.37324,1.77943,0.009715,0.009715,0.009715
8,87.0568,1.27439,2.19734,1.19031,0.44923,0.51304,0.53074,0.22783,2.30873,1.99007,1.75258,0.0096675,0.0096675,0.0096675
9,108.762,1.27421,2.16342,1.21116,0.31302,0.6413,0.52225,0.24887,2.26158,1.92579,1.8592,0.00962,0.00962,0.00962
10,134.226,1.25588,2.0785,1.18937,0.33057,0.75217,0.65026,0.32375,2.22887,1.86839,1.81424,0.0095725,0.0095725,0.0095725
11,160.35,1.18614,1.93709,1.15822,0.34632,0.84783,0.74489,0.36475,2.25491,1.60607,1.81026,0.009525,0.009525,0.009525
12,185.83,1.22658,2.0021,1.17018,0.30686,0.77174,0.65624,0.32903,2.21319,1.75741,1.79602,0.0094775,0.0094775,0.0094775
13,212.515,1.18143,1.87716,1.18459,0.32067,0.83913,0.74313,0.31416,2.3495,1.69213,1.95388,0.00943,0.00943,0.00943
14,238.896,1.20786,1.91299,1.17433,0.57379,0.77174,0.78755,0.38453,2.29078,1.3356,1.84477,0.0093825,0.0093825,0.0093825
15,265.198,1.20096,1.84868,1.18889,0.48948,0.71739,0.68041,0.29815,2.29328,1.48343,1.91666,0.009335,0.009335,0.009335
16,290.034,1.16248,1.72008,1.14021,0.4578,0.59404,0.64834,0.26936,2.33507,1.79173,1.86154,0.0092875,0.0092875,0.0092875
17,316.682,1.21499,1.72072,1.13726,0.37606,0.84239,0.79254,0.37145,2.27611,1.61246,1.88706,0.00924,0.00924,0.00924
18,342.771,1.18918,1.71812,1.15704,0.48943,0.67391,0.6146,0.26883,2.2465,2.81217,1.81433,0.0091925,0.0091925,0.0091925
19,368.785,1.16003,1.63843,1.16722,0.45138,0.93478,0.81425,0.41962,2.13856,1.37869,1.77752,0.009145,0.009145,0.009145
20,395.133,1.16543,1.66736,1.16517,0.42605,0.95652,0.89533,0.44474,2.26532,1.36125,1.87374,0.0090975,0.0090975,0.0090975
21,420.316,1.15871,1.62265,1.13399,0.37645,0.8587,0.73298,0.3649,2.24609,1.60395,1.83673,0.00905,0.00905,0.00905
22,446.13,1.19393,1.62413,1.16016,0.61607,0.80887,0.88544,0.43728,2.29384,1.45952,1.85299,0.0090025,0.0090025,0.0090025
23,464.473,1.16924,1.5678,1.1323,0.68771,0.67391,0.85579,0.4188,2.2927,1.36189,1.90718,0.008955,0.008955,0.008955
24,473.179,1.14612,1.52218,1.10179,0.5555,0.77634,0.85072,0.43451,2.31518,1.28648,1.90749,0.0089075,0.0089075,0.0089075
25,482.952,1.1356,1.50482,1.14809,0.57134,0.86772,0.8781,0.44378,2.24749,1.24567,1.93109,0.00886,0.00886,0.00886
26,493.005,1.15804,1.4976,1.13346,0.7373,0.67734,0.77416,0.37651,2.19893,1.4914,1.87238,0.0088125,0.0088125,0.0088125
27,502.083,1.13255,1.46617,1.11072,0.67637,0.78997,0.88901,0.42598,2.2985,1.35111,1.92713,0.008765,0.008765,0.008765
28,511.126,1.15147,1.50158,1.14412,0.7217,0.6469,0.87281,0.41461,2.38389,1.21639,1.99127,0.0087175,0.0087175,0.0087175
29,520.888,1.13923,1.47261,1.12772,0.66183,0.77663,0.85429,0.43473,2.29912,1.29562,1.93702,0.00867,0.00867,0.00867
30,530.161,1.12618,1.46523,1.11098,0.67408,0.82609,0.95174,0.47019,2.26167,1.09305,1.91474,0.0086225,0.0086225,0.0086225
31,540.511,1.10583,1.39205,1.11476,0.57618,0.78108,0.8279,0.40258,2.2006,1.27065,1.83289,0.008575,0.008575,0.008575
32,550.879,1.12336,1.43861,1.15019,0.85842,0.6283,0.83479,0.37328,2.33872,1.19345,1.96711,0.0085275,0.0085275,0.0085275
33,560.062,1.13281,1.44328,1.12112,0.51408,0.95652,0.86334,0.41042,2.28165,1.24186,1.90425,0.00848,0.00848,0.00848
34,570.251,1.1203,1.39134,1.12526,0.58885,0.79194,0.76158,0.33411,2.39912,1.39972,2.02842,0.0084325,0.0084325,0.0084325
35,579.321,1.15556,1.45512,1.14549,0.68464,0.73431,0.91521,0.45458,2.26692,1.17595,1.86741,0.008385,0.008385,0.008385
36,588.589,1.1514,1.42826,1.12286,0.68642,0.90217,0.93898,0.46513,2.26035,0.99247,1.89324,0.0083375,0.0083375,0.0083375
37,598.866,1.16759,1.43161,1.1595,0.7673,0.82609,0.94449,0.46972,2.21657,0.98736,1.87371,0.00829,0.00829,0.00829
38,608.086,1.13354,1.41671,1.12552,0.66975,0.81739,0.93737,0.46411,2.2621,1.03437,1.88183,0.0082425,0.0082425,0.0082425
39,617.092,1.08842,1.33938,1.11136,0.83209,0.81352,0.93966,0.45261,2.26881,0.85689,1.8853,0.008195,0.008195,0.008195
40,627.035,1.11622,1.32133,1.13551,0.81462,0.86521,0.95174,0.47839,2.24777,0.94308,1.88391,0.0081475,0.0081475,0.0081475
41,636.853,1.12103,1.32646,1.12947,0.72655,0.84545,0.93492,0.48163,2.23114,0.93946,1.83099,0.0081,0.0081,0.0081
42,647.59,1.11623,1.39371,1.14484,0.6689,0.8319,0.91548,0.42967,2.34662,1.03349,1.95133,0.0080525,0.0080525,0.0080525
43,657.096,1.11358,1.32621,1.1139,0.77425,0.8968,0.95174,0.48807,2.21251,0.92187,1.85101,0.008005,0.008005,0.008005
44,666.808,1.08388,1.2873,1.10187,0.69927,0.8131,0.87758,0.46572,2.10948,1.1522,1.76321,0.0079575,0.0079575,0.0079575
45,676.27,1.1011,1.31974,1.11698,0.69661,0.84113,0.91996,0.44358,2.30005,1.08332,1.9222,0.00791,0.00791,0.00791
46,687.117,1.10237,1.35034,1.12722,0.72795,0.76606,0.93595,0.48357,2.28272,1.05908,1.92442,0.0078625,0.0078625,0.0078625
47,696.74,1.09983,1.32457,1.10859,0.6691,0.93478,0.93069,0.45316,2.28183,0.95265,1.95041,0.007815,0.007815,0.007815
48,706.083,1.07763,1.27323,1.07694,0.69059,0.89348,0.93463,0.46562,2.30859,0.97858,1.97401,0.0077675,0.0077675,0.0077675
49,715.19,1.08001,1.28107,1.09624,0.6573,0.90217,0.90732,0.44624,2.24468,1.00167,1.9038,0.00772,0.00772,0.00772
50,724.472,1.10433,1.33268,1.12585,0.74111,0.85148,0.92046,0.45979,2.2249,1.04299,1.88204,0.0076725,0.0076725,0.0076725
51,733.842,1.08562,1.29237,1.09563,0.67944,0.938,0.93545,0.4717,2.2261,0.86597,1.90726,0.007625,0.007625,0.007625
52,743.173,1.08299,1.27021,1.09,0.80222,0.8558,0.93611,0.44445,2.22272,1.13926,1.87734,0.0075775,0.0075775,0.0075775
53,752.279,1.07783,1.26455,1.10416,0.79197,0.94353,0.95174,0.49069,2.23578,0.80935,1.95122,0.00753,0.00753,0.00753
54,762.346,1.08545,1.26009,1.11669,0.71158,0.91332,0.93172,0.48813,2.20329,0.8606,1.89335,0.0074825,0.0074825,0.0074825
55,772.003,1.04769,1.17215,1.07369,0.82091,0.87582,0.93376,0.47059,2.2792,0.9029,1.90404,0.007435,0.007435,0.007435
56,782.244,1.0882,1.26762,1.11837,0.82263,0.89273,0.95174,0.47637,2.19477,0.83326,1.81319,0.0073875,0.0073875,0.0073875
57,792.532,1.0684,1.20215,1.0985,0.73081,0.91715,0.92307,0.46007,2.31795,0.93719,1.88587,0.00734,0.00734,0.00734
58,802.404,1.06295,1.20922,1.08078,0.7688,0.91304,0.95174,0.49309,2.17407,0.91786,1.81578,0.0072925,0.0072925,0.0072925
59,812.192,1.08355,1.254,1.09802,0.69465,0.8587,0.92009,0.4539,2.28263,1.00311,1.98823,0.007245,0.007245,0.007245
60,821.537,1.04579,1.19,1.09301,0.75297,0.90218,0.95174,0.46514,2.26105,0.85354,1.9151,0.0071975,0.0071975,0.0071975
61,831.705,1.06376,1.19908,1.09543,0.77822,0.89468,0.95174,0.47053,2.23987,0.86493,1.86698,0.00715,0.00715,0.00715
62,841.504,1.09474,1.27179,1.11703,0.77809,0.86957,0.95174,0.49037,2.23652,0.9776,1.89835,0.0071025,0.0071025,0.0071025
63,851.014,1.04286,1.18159,1.0747,0.65582,0.86957,0.91964,0.47367,2.16283,1.01678,1.8879,0.007055,0.007055,0.007055
64,860.788,1.08238,1.24748,1.10871,0.8104,0.9019,0.94286,0.48122,2.22243,0.76595,1.89087,0.0070075,0.0070075,0.0070075
65,871.074,1.04192,1.15051,1.09121,0.82038,0.90052,0.9471,0.49223,2.20219,0.78198,1.90653,0.00696,0.00696,0.00696
66,880.761,1.06841,1.14488,1.0716,0.70657,0.95652,0.95174,0.47468,2.21455,0.79578,1.92362,0.0069125,0.0069125,0.0069125
67,891.016,1.03267,1.11576,1.08253,0.76596,0.91304,0.95174,0.47672,2.23567,0.84061,1.89284,0.006865,0.006865,0.006865
68,901.545,1.04523,1.12526,1.0933,0.83018,0.9393,0.95174,0.47591,2.28055,0.83869,1.89128,0.0068175,0.0068175,0.0068175
69,910.68,1.06147,1.19354,1.08317,0.87746,0.81846,0.94419,0.46744,2.25392,0.8767,1.92516,0.00677,0.00677,0.00677
70,921.424,1.04269,1.13418,1.10613,0.77382,0.94757,0.95174,0.48394,2.21029,0.85439,1.90789,0.0067225,0.0067225,0.0067225
71,931.855,1.03209,1.10892,1.07987,0.84527,0.91304,0.95174,0.47034,2.26718,0.79474,1.91732,0.006675,0.006675,0.006675
72,942.279,1.0163,1.07808,1.06958,0.82302,0.91239,0.95174,0.50875,2.19471,0.77026,1.82178,0.0066275,0.0066275,0.0066275
73,951.578,1.03832,1.16808,1.07682,0.73737,0.93153,0.9341,0.47116,2.22418,0.8016,1.85518,0.00658,0.00658,0.00658
74,960.838,1.06149,1.16137,1.07632,0.86861,0.82533,0.95174,0.49096,2.18995,0.80015,1.7881,0.0065325,0.0065325,0.0065325
75,970.522,1.04267,1.13518,1.08464,0.76043,0.95652,0.95174,0.48829,2.26757,0.77374,1.96726,0.006485,0.006485,0.006485
76,980.912,1.02873,1.09228,1.09201,0.75385,0.91304,0.95174,0.4882,2.15678,0.73907,1.85419,0.0064375,0.0064375,0.0064375
77,990.621,1.05566,1.14712,1.07828,0.72023,0.94686,0.94087,0.49049,2.22177,0.81173,1.90664,0.00639,0.00639,0.00639
78,1000.25,1.03626,1.15525,1.07471,0.82198,0.83608,0.94812,0.48211,2.221,0.90564,1.93415,0.0063425,0.0063425,0.0063425
79,1010.64,1.02681,1.06737,1.06746,0.75873,0.90971,0.95174,0.47305,2.22834,0.9068,1.88845,0.006295,0.006295,0.006295
80,1020.29,1.03237,1.10719,1.07645,0.77655,0.89397,0.9375,0.45361,2.31259,0.81056,1.96063,0.0062475,0.0062475,0.0062475
81,1030.64,1.04889,1.10429,1.09896,0.78688,0.88551,0.93963,0.45058,2.27701,0.82215,1.96686,0.0062,0.0062,0.0062
82,1040.23,1.03298,1.12111,1.07592,0.84711,0.84844,0.94191,0.48871,2.1808,0.79582,1.87077,0.0061525,0.0061525,0.0061525
83,1050.68,1.05583,1.1752,1.11757,0.82099,0.86531,0.95174,0.47164,2.28258,0.90411,1.90866,0.006105,0.006105,0.006105
84,1060.48,1.04536,1.15354,1.09259,0.78269,0.94565,0.93705,0.46778,2.25829,0.77095,1.91008,0.0060575,0.0060575,0.0060575
85,1069.75,1.05644,1.12107,1.07061,0.74417,0.94565,0.94215,0.46906,2.27702,0.78711,1.91191,0.00601,0.00601,0.00601
86,1079.43,1.04241,1.14811,1.08806,0.8184,0.9459,0.95174,0.49504,2.17826,0.81461,1.86713,0.0059625,0.0059625,0.0059625
87,1088.34,1.04049,1.084,1.05462,0.70755,0.94196,0.95174,0.48352,2.20724,0.86939,1.86118,0.005915,0.005915,0.005915
88,1097.83,1.0205,1.10345,1.07406,0.76477,0.94506,0.95174,0.48298,2.17774,0.78033,1.8738,0.0058675,0.0058675,0.0058675
89,1107.73,1.00741,1.10987,1.08923,0.79794,0.9408,0.95174,0.491,2.18589,0.7997,1.83155,0.00582,0.00582,0.00582
90,1117.16,1.03842,1.11278,1.07536,0.88362,0.90722,0.95174,0.47309,2.23244,0.74333,1.95794,0.0057725,0.0057725,0.0057725
91,1126.52,1.03807,1.09339,1.06963,0.71525,0.93208,0.94123,0.48074,2.20885,0.80588,1.89403,0.005725,0.005725,0.005725
92,1135.97,1.01341,1.04287,1.07145,0.81286,0.85302,0.93685,0.48174,2.23746,0.83841,1.9614,0.0056775,0.0056775,0.0056775
93,1145.75,1.00892,1.05535,1.0608,0.79524,0.89157,0.94223,0.4757,2.22617,0.80281,1.90829,0.00563,0.00563,0.00563
94,1156.88,1.0022,1.0413,1.07622,0.79957,0.94385,0.95174,0.4694,2.30368,0.85235,1.95075,0.0055825,0.0055825,0.0055825
95,1167.05,1.01889,1.05859,1.08263,0.83295,0.88955,0.95174,0.47342,2.22673,0.82167,1.89706,0.005535,0.005535,0.005535
96,1175.99,1.04732,1.12508,1.07802,0.86752,0.95633,0.95174,0.48232,2.23152,0.81319,1.9318,0.0054875,0.0054875,0.0054875
97,1185.41,1.02103,1.07719,1.06717,0.89407,0.90316,0.95174,0.49859,2.17911,0.79815,1.87428,0.00544,0.00544,0.00544
98,1196.65,1.02058,1.04149,1.09279,0.74557,0.92983,0.93097,0.48293,2.23286,0.79589,1.9098,0.0053925,0.0053925,0.0053925
99,1205.49,1.01443,1.06952,1.06615,0.79553,0.91304,0.95174,0.49437,2.17813,0.77353,1.90524,0.005345,0.005345,0.005345
100,1215.37,0.99214,1.00173,1.05639,0.73152,0.93113,0.94415,0.49945,2.21438,0.80842,1.92897,0.0052975,0.0052975,0.0052975
101,1226.16,1.01876,1.02317,1.08299,0.75755,0.89101,0.94731,0.48545,2.19577,0.87639,1.91239,0.00525,0.00525,0.00525
102,1235.95,1.00081,1.01854,1.063,0.81825,0.89396,0.95174,0.48717,2.21275,0.7831,1.94541,0.0052025,0.0052025,0.0052025
103,1246.78,0.99261,0.97742,1.06913,0.76999,0.94293,0.95174,0.46697,2.25201,0.75093,1.94045,0.005155,0.005155,0.005155
104,1257.48,1.00808,1.02552,1.08381,0.83054,0.85357,0.95174,0.51781,2.08987,0.82876,1.78809,0.0051075,0.0051075,0.0051075
105,1266.67,0.99795,1.01773,1.05451,0.7187,0.91485,0.9384,0.46427,2.27164,0.84666,2.00255,0.00506,0.00506,0.00506
106,1276.96,1.00572,0.98571,1.06685,0.82739,0.9246,0.93271,0.49447,2.16496,0.75033,1.8192,0.0050125,0.0050125,0.0050125
107,1287.25,0.997,1.01698,1.05573,0.8791,0.81601,0.94449,0.45233,2.29155,0.91169,1.9646,0.004965,0.004965,0.004965
108,1297.42,0.98879,1.0065,1.05579,0.72886,0.94183,0.93814,0.48648,2.22963,0.85015,1.94134,0.0049175,0.0049175,0.0049175
109,1306.13,1.0025,1.00172,1.02183,0.75857,0.94091,0.93823,0.45461,2.32111,0.78145,2.07681,0.00487,0.00487,0.00487
110,1316.33,0.99107,0.98215,1.07053,0.82638,0.91462,0.93899,0.47477,2.28646,0.79822,1.95281,0.0048225,0.0048225,0.0048225
111,1326.32,0.99375,1.02425,1.07816,0.81513,0.909,0.93452,0.47387,2.2606,0.78481,1.96977,0.004775,0.004775,0.004775
112,1336.28,0.98154,0.99127,1.04904,0.8051,0.93331,0.93053,0.45015,2.31201,0.87901,2.03607,0.0047275,0.0047275,0.0047275
113,1346.43,1.00623,0.97944,1.06651,0.79149,0.92142,0.928,0.47585,2.20583,0.73782,1.87287,0.00468,0.00468,0.00468
114,1356.61,0.99525,1.01231,1.07486,0.76641,0.93941,0.93619,0.49452,2.19916,0.73991,1.90735,0.0046325,0.0046325,0.0046325
115,1366.91,1.00296,1.03182,1.07681,0.82493,0.89348,0.93002,0.48357,2.23323,0.76284,1.97982,0.004585,0.004585,0.004585
116,1376.44,0.99707,0.99724,1.05344,0.77235,0.93606,0.93567,0.49636,2.17772,0.76544,1.91227,0.0045375,0.0045375,0.0045375
117,1386.78,0.97989,0.96253,1.05188,0.83038,0.93957,0.94442,0.48291,2.23287,0.77634,1.88965,0.00449,0.00449,0.00449
118,1397.02,0.98869,0.9772,1.06907,0.77829,0.93478,0.92879,0.48183,2.24558,0.75383,1.95566,0.0044425,0.0044425,0.0044425
